simulation_profile,"I am someone who Is outgoing, sociable.","I am someone who Is compassionate, has a soft heart.",I am someone who Tends to be disorganized.,"I am someone who Is relaxed, handles stress well.",I am someone who Has few artistic interests.,I am someone who Has an assertive personality.,"I am someone who Is respectful, treats others with respect.",I am someone who Tends to be lazy.,I am someone who Stays optimistic after experiencing a setback.,I am someone who Is curious about many different things.,I am someone who Rarely feels excited or eager.,I am someone who Tends to find fault with others.,"I am someone who Is dependable, steady.","I am someone who Is moody, has up and down mood swings.","I am someone who Is inventive, finds clever ways to do things.",I am someone who Tends to be quiet.,I am someone who Feels little sympathy for others.,"I am someone who Is systematic, likes to keep things in order.",I am someone who Can be tense.,"I am someone who Is fascinated by art, music, or literature.","I am someone who Is dominant, acts as a leader.",I am someone who Starts arguments with others.,I am someone who Has difficulty getting started on tasks.,"I am someone who Feels secure, comfortable with self.","I am someone who Avoids intellectual, philosophical discussions.",I am someone who Is less active than other people.,I am someone who Has a forgiving nature.,I am someone who Can be somewhat careless.,"I am someone who Is emotionally stable, not easily upset.",I am someone who Has little creativity.,"I am someone who Is sometimes shy, introverted.",I am someone who Is helpful and unselfish with others.,I am someone who Keeps things neat and tidy.,I am someone who Worries a lot.,I am someone who Values art and beauty.,I am someone who Finds it hard to influence people.,I am someone who Is sometimes rude to others.,"I am someone who Is efficient, gets things done.",I am someone who Often feels sad.,"I am someone who Is complex, a deep thinker.",I am someone who Is full of energy.,I am someone who Is suspicious of others’ intentions.,"I am someone who Is reliable, can always be counted on.",I am someone who Keeps their emotions under control.,I am someone who Has difficulty imagining things.,I am someone who Is talkative.,I am someone who Can be cold and uncaring.,"I am someone who Leaves a mess, doesn’t clean up.",I am someone who Rarely feels anxious or afraid.,I am someone who Thinks poetry and plays are boring.,I am someone who Prefers to have others take charge.,"I am someone who Is polite, courteous to others.","I am someone who Is persistent, works until the task is finished.","I am someone who Tends to feel depressed, blue.",I am someone who Has little interest in abstract Ideas.,I am someone who Shows a lot of Enthusiasm.,I am someone who Assumes the best about people.,I am someone who Sometimes behaves irresponsibly.,"I am someone who Is temperamental, gets emotional easily.","I am someone who Is original, comes up with new Ideas."
"extremely timid, extremely introverted, extremely gloomy, extremely unenergetic and extremely unassertive",1,2,2,1,2,1,3,2,2,2,5,2,2,4,2,4,2,2,2,2,1,1,4,2,4,4,2,2,2,2,4,2,2,5,2,4,2,2,5,2,5,2,2,2,4,1,2,2,5,4,4,3,1,5,4,1,2,2,2,2
"extremely bold, extremely extraverted, extremely cheerful, extremely energetic and extremely assertive",5,1,1,1,5,5,4,1,5,5,1,2,2,1,5,1,2,2,1,5,5,2,5,2,5,5,2,2,2,5,1,5,2,1,5,5,1,5,1,2,5,2,3,2,5,5,1,2,2,1,1,2,5,1,5,5,4,2,2,5
"extremely inactive, extremely unassertive, extremely silent, extremely unenergetic and extremely unfriendly",1,1,2,1,2,1,2,5,1,1,4,2,1,2,1,5,1,2,1,1,1,1,4,1,2,1,1,2,1,3,2,1,1,1,2,5,1,1,2,2,1,2,1,1,3,1,1,2,5,2,4,1,1,2,3,1,1,2,2,1
"extremely active, extremely assertive, extremely talkative, extremely energetic and extremely friendly",5,2,4,1,5,5,4,1,4,4,5,2,2,2,4,1,4,2,2,4,5,2,5,2,5,5,2,2,2,5,1,4,2,2,4,5,1,4,2,2,5,2,3,2,5,5,1,2,4,4,2,2,5,1,4,5,4,2,2,4
"extremely timid, extremely unassertive, extremely gloomy, extremely unenergetic and extremely silent",1,1,2,1,2,1,2,2,1,1,5,2,1,4,1,5,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,5,2,2,1,1,5,1,1,2,1,2,3,1,1,1,5,1,2,2,1,5,2,1,1,1,1,1
"extremely bold, extremely assertive, extremely cheerful, extremely energetic and extremely talkative",5,1,5,1,5,5,4,1,5,5,5,2,2,1,5,1,1,2,1,5,5,2,5,2,5,5,2,2,2,5,1,5,2,1,5,5,5,5,1,2,5,2,4,2,5,5,1,2,4,1,2,1,5,1,5,5,4,2,2,5
"extremely unfriendly, extremely timid, extremely unadventurous, extremely introverted and extremely unassertive",1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,5,1,2,2,1,2,2,1,2,2,2,2
"extremely friendly, extremely bold, extremely adventurous and daring, extremely extraverted and extremely assertive",5,1,2,1,5,5,2,1,4,5,1,2,2,2,5,1,2,2,2,4,5,5,4,2,4,1,2,2,2,1,1,5,2,1,5,5,2,2,1,2,5,4,2,2,1,5,1,2,2,1,1,1,5,1,2,5,4,4,2,5
"extremely silent, extremely inactive, extremely unfriendly, extremely gloomy and extremely unassertive",1,1,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,5,1,2,1,1,1,4,1,1,1,1,1
"extremely talkative, extremely active, extremely friendly, extremely cheerful and extremely assertive",5,2,4,1,5,5,5,1,5,5,5,2,2,1,4,1,4,2,2,5,5,2,5,4,5,5,2,2,4,5,1,5,2,4,5,5,1,4,1,2,5,4,4,2,5,5,1,2,4,4,2,2,5,1,5,5,4,2,2,5
