"file","model","factor1","factor2","correlation"
"human_normal","FFM","Extraversion","Agreeableness",0.277478850773765
"human_normal","FFM","Extraversion","Conscientiousness",0.55506593044293
"human_normal","FFM","Extraversion","Neuroticism",-0.611010162613903
"human_normal","FFM","Extraversion","Openness",0.345564256033156
"human_normal","FFM","Agreeableness","Conscientiousness",0.466725652815227
"human_normal","FFM","Agreeableness","Neuroticism",-0.426753621498937
"human_normal","FFM","Agreeableness","Openness",0.270234051150795
"human_normal","FFM","Conscientiousness","Neuroticism",-0.608938544581252
"human_normal","FFM","Conscientiousness","Openness",0.167082889488516
"human_normal","FFM","Neuroticism","Openness",-0.165715962530811
"persona_Gemma2_9b_zero_shot","FFM","Extraversion","Agreeableness",0.253087533671532
"persona_Gemma2_9b_zero_shot","FFM","Extraversion","Conscientiousness",0.445840239850611
"persona_Gemma2_9b_zero_shot","FFM","Extraversion","Neuroticism",-0.63454032736218
"persona_Gemma2_9b_zero_shot","FFM","Extraversion","Openness",0.533678290302107
"persona_Gemma2_9b_zero_shot","FFM","Agreeableness","Conscientiousness",0.741290221008604
"persona_Gemma2_9b_zero_shot","FFM","Agreeableness","Neuroticism",-0.602969789685207
"persona_Gemma2_9b_zero_shot","FFM","Agreeableness","Openness",0.421046402620891
"persona_Gemma2_9b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.665331156339237
"persona_Gemma2_9b_zero_shot","FFM","Conscientiousness","Openness",0.320845162248181
"persona_Gemma2_9b_zero_shot","FFM","Neuroticism","Openness",-0.297871272092115
"persona_Gemma2_27b_zero_shot","FFM","Extraversion","Agreeableness",0.481307475422176
"persona_Gemma2_27b_zero_shot","FFM","Extraversion","Conscientiousness",0.571763841413592
"persona_Gemma2_27b_zero_shot","FFM","Extraversion","Neuroticism",-0.665863489142847
"persona_Gemma2_27b_zero_shot","FFM","Extraversion","Openness",0.527399372359969
"persona_Gemma2_27b_zero_shot","FFM","Agreeableness","Conscientiousness",0.786086671992769
"persona_Gemma2_27b_zero_shot","FFM","Agreeableness","Neuroticism",-0.716174878880547
"persona_Gemma2_27b_zero_shot","FFM","Agreeableness","Openness",0.617526206227278
"persona_Gemma2_27b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.836069423899691
"persona_Gemma2_27b_zero_shot","FFM","Conscientiousness","Openness",0.40796861101692
"persona_Gemma2_27b_zero_shot","FFM","Neuroticism","Openness",-0.357705722206341
"persona_GPT4o_mini_zero_shot","FFM","Extraversion","Agreeableness",0.510971130937756
"persona_GPT4o_mini_zero_shot","FFM","Extraversion","Conscientiousness",0.548677654248274
"persona_GPT4o_mini_zero_shot","FFM","Extraversion","Neuroticism",-0.763253403310646
"persona_GPT4o_mini_zero_shot","FFM","Extraversion","Openness",0.521259389716836
"persona_GPT4o_mini_zero_shot","FFM","Agreeableness","Conscientiousness",0.78841479865451
"persona_GPT4o_mini_zero_shot","FFM","Agreeableness","Neuroticism",-0.731679651727515
"persona_GPT4o_mini_zero_shot","FFM","Agreeableness","Openness",0.54475509321447
"persona_GPT4o_mini_zero_shot","FFM","Conscientiousness","Neuroticism",-0.685220425889658
"persona_GPT4o_mini_zero_shot","FFM","Conscientiousness","Openness",0.359753522119976
"persona_GPT4o_mini_zero_shot","FFM","Neuroticism","Openness",-0.386434838546672
"persona_GPT4o_zero_shot","FFM","Extraversion","Agreeableness",0.261827560513693
"persona_GPT4o_zero_shot","FFM","Extraversion","Conscientiousness",0.434117145708535
"persona_GPT4o_zero_shot","FFM","Extraversion","Neuroticism",-0.60785997419545
"persona_GPT4o_zero_shot","FFM","Extraversion","Openness",0.368132837556441
"persona_GPT4o_zero_shot","FFM","Agreeableness","Conscientiousness",0.555660896376018
"persona_GPT4o_zero_shot","FFM","Agreeableness","Neuroticism",-0.396235977617838
"persona_GPT4o_zero_shot","FFM","Agreeableness","Openness",0.312556528191578
"persona_GPT4o_zero_shot","FFM","Conscientiousness","Neuroticism",-0.516006184123479
"persona_GPT4o_zero_shot","FFM","Conscientiousness","Openness",0.104844544974598
"persona_GPT4o_zero_shot","FFM","Neuroticism","Openness",-0.062814455698853
"persona_Llama3_8b_zero_shot","FFM","Extraversion","Agreeableness",0.301746338193934
"persona_Llama3_8b_zero_shot","FFM","Extraversion","Conscientiousness",0.302718315120107
"persona_Llama3_8b_zero_shot","FFM","Extraversion","Neuroticism",-0.643987052102264
"persona_Llama3_8b_zero_shot","FFM","Extraversion","Openness",0.423502482818964
"persona_Llama3_8b_zero_shot","FFM","Agreeableness","Conscientiousness",0.622350612490958
"persona_Llama3_8b_zero_shot","FFM","Agreeableness","Neuroticism",-0.627790820779647
"persona_Llama3_8b_zero_shot","FFM","Agreeableness","Openness",0.40226077267199
"persona_Llama3_8b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.590087443950794
"persona_Llama3_8b_zero_shot","FFM","Conscientiousness","Openness",0.0331670025833137
"persona_Llama3_8b_zero_shot","FFM","Neuroticism","Openness",-0.247505745037493
