"file","model","item","loading"
"human_normal","FFM","Sociability",0.66054481413663
"human_normal","FFM","Assertiveness",0.587493192891824
"human_normal","FFM","Energy_Level",0.774661830345059
"human_normal","FFM","Compassion",0.699015893667217
"human_normal","FFM","Respectfulness",0.800943324739239
"human_normal","FFM","Trust",0.64899156544543
"human_normal","FFM","Organization",0.700946488490791
"human_normal","FFM","Productiveness",0.888464946600236
"human_normal","FFM","Responsibility",0.791197518932052
"human_normal","FFM","Anxiety",0.842452171500058
"human_normal","FFM","Depression",0.877265620591468
"human_normal","FFM","Emotional_Volatility",0.852484524291552
"human_normal","FFM","Intellectual_Curiosity",0.740744887811517
"human_normal","FFM","Aesthetic_Sensitivity",0.708693870392099
"human_normal","FFM","Creative_Imagination",0.806003982677905
"persona_Gemma2_9b_zero_shot","FFM","Sociability",0.656724055981721
"persona_Gemma2_9b_zero_shot","FFM","Assertiveness",0.831150065966647
"persona_Gemma2_9b_zero_shot","FFM","Energy_Level",0.805196326196203
"persona_Gemma2_9b_zero_shot","FFM","Compassion",0.862416071444156
"persona_Gemma2_9b_zero_shot","FFM","Respectfulness",0.924209219499408
"persona_Gemma2_9b_zero_shot","FFM","Trust",0.814051034171266
"persona_Gemma2_9b_zero_shot","FFM","Organization",0.767313588334678
"persona_Gemma2_9b_zero_shot","FFM","Productiveness",0.681321108007355
"persona_Gemma2_9b_zero_shot","FFM","Responsibility",0.932108519575168
"persona_Gemma2_9b_zero_shot","FFM","Anxiety",0.763592279340744
"persona_Gemma2_9b_zero_shot","FFM","Depression",0.963212098302627
"persona_Gemma2_9b_zero_shot","FFM","Emotional_Volatility",0.70093167456147
"persona_Gemma2_9b_zero_shot","FFM","Intellectual_Curiosity",0.846648613072062
"persona_Gemma2_9b_zero_shot","FFM","Aesthetic_Sensitivity",0.575286224735644
"persona_Gemma2_9b_zero_shot","FFM","Creative_Imagination",0.7419320897795
"persona_Gemma2_27b_zero_shot","FFM","Sociability",0.760985131410387
"persona_Gemma2_27b_zero_shot","FFM","Assertiveness",0.816390280683592
"persona_Gemma2_27b_zero_shot","FFM","Energy_Level",0.901465306449657
"persona_Gemma2_27b_zero_shot","FFM","Compassion",0.878377523374612
"persona_Gemma2_27b_zero_shot","FFM","Respectfulness",0.902762398390475
"persona_Gemma2_27b_zero_shot","FFM","Trust",0.914259593983642
"persona_Gemma2_27b_zero_shot","FFM","Organization",0.86214563035318
"persona_Gemma2_27b_zero_shot","FFM","Productiveness",0.801293142589404
"persona_Gemma2_27b_zero_shot","FFM","Responsibility",0.91870161533697
"persona_Gemma2_27b_zero_shot","FFM","Anxiety",0.695323836703237
"persona_Gemma2_27b_zero_shot","FFM","Depression",0.851863550174971
"persona_Gemma2_27b_zero_shot","FFM","Emotional_Volatility",0.82319334124102
"persona_Gemma2_27b_zero_shot","FFM","Intellectual_Curiosity",0.816361669473084
"persona_Gemma2_27b_zero_shot","FFM","Aesthetic_Sensitivity",0.807393942674205
"persona_Gemma2_27b_zero_shot","FFM","Creative_Imagination",0.707575728534383
"persona_GPT4o_mini_zero_shot","FFM","Sociability",0.819802333172182
"persona_GPT4o_mini_zero_shot","FFM","Assertiveness",0.780830968588492
"persona_GPT4o_mini_zero_shot","FFM","Energy_Level",0.934363751930808
"persona_GPT4o_mini_zero_shot","FFM","Compassion",0.885149597430666
"persona_GPT4o_mini_zero_shot","FFM","Respectfulness",0.939986578949581
"persona_GPT4o_mini_zero_shot","FFM","Trust",0.882634972174287
"persona_GPT4o_mini_zero_shot","FFM","Organization",0.907706738932078
"persona_GPT4o_mini_zero_shot","FFM","Productiveness",0.832751279852625
"persona_GPT4o_mini_zero_shot","FFM","Responsibility",0.936821554714352
"persona_GPT4o_mini_zero_shot","FFM","Anxiety",0.729222079293487
"persona_GPT4o_mini_zero_shot","FFM","Depression",0.97133203864031
"persona_GPT4o_mini_zero_shot","FFM","Emotional_Volatility",0.74231719911949
"persona_GPT4o_mini_zero_shot","FFM","Intellectual_Curiosity",0.863424939727388
"persona_GPT4o_mini_zero_shot","FFM","Aesthetic_Sensitivity",0.77171223665361
"persona_GPT4o_mini_zero_shot","FFM","Creative_Imagination",0.796638282536026
"persona_GPT4o_zero_shot","FFM","Sociability",0.759333540671495
"persona_GPT4o_zero_shot","FFM","Assertiveness",0.671589214301707
"persona_GPT4o_zero_shot","FFM","Energy_Level",0.879006061023066
"persona_GPT4o_zero_shot","FFM","Compassion",0.816543114455464
"persona_GPT4o_zero_shot","FFM","Respectfulness",0.903297083599806
"persona_GPT4o_zero_shot","FFM","Trust",0.752230390677072
"persona_GPT4o_zero_shot","FFM","Organization",0.865451187094258
"persona_GPT4o_zero_shot","FFM","Productiveness",0.767764589540145
"persona_GPT4o_zero_shot","FFM","Responsibility",0.82296680825354
"persona_GPT4o_zero_shot","FFM","Anxiety",0.692333947421194
"persona_GPT4o_zero_shot","FFM","Depression",0.906007797041845
"persona_GPT4o_zero_shot","FFM","Emotional_Volatility",0.634633542840988
"persona_GPT4o_zero_shot","FFM","Intellectual_Curiosity",0.76577270580644
"persona_GPT4o_zero_shot","FFM","Aesthetic_Sensitivity",0.730021884317876
"persona_GPT4o_zero_shot","FFM","Creative_Imagination",0.910569239230502
"persona_Llama3_8b_zero_shot","FFM","Sociability",0.631193695100798
"persona_Llama3_8b_zero_shot","FFM","Assertiveness",0.661624678306099
"persona_Llama3_8b_zero_shot","FFM","Energy_Level",0.652737556260737
"persona_Llama3_8b_zero_shot","FFM","Compassion",0.796297007416586
"persona_Llama3_8b_zero_shot","FFM","Respectfulness",0.856547859251242
"persona_Llama3_8b_zero_shot","FFM","Trust",0.7570227357886
"persona_Llama3_8b_zero_shot","FFM","Organization",0.618403573320895
"persona_Llama3_8b_zero_shot","FFM","Productiveness",0.502067400905779
"persona_Llama3_8b_zero_shot","FFM","Responsibility",0.774136996388084
"persona_Llama3_8b_zero_shot","FFM","Anxiety",0.442856277960161
"persona_Llama3_8b_zero_shot","FFM","Depression",0.911787483469491
"persona_Llama3_8b_zero_shot","FFM","Emotional_Volatility",0.603167158677083
"persona_Llama3_8b_zero_shot","FFM","Intellectual_Curiosity",0.688739427316793
"persona_Llama3_8b_zero_shot","FFM","Aesthetic_Sensitivity",0.497045533159645
"persona_Llama3_8b_zero_shot","FFM","Creative_Imagination",0.63384215542333
"persona_Llama3_70b_zero_shot","FFM","Sociability",0.845498718173511
"persona_Llama3_70b_zero_shot","FFM","Assertiveness",0.860836897154736
"persona_Llama3_70b_zero_shot","FFM","Energy_Level",0.85644156821631
"persona_Llama3_70b_zero_shot","FFM","Compassion",0.896940479102184
"persona_Llama3_70b_zero_shot","FFM","Respectfulness",0.944177006833662
"persona_Llama3_70b_zero_shot","FFM","Trust",0.867025293707665
"persona_Llama3_70b_zero_shot","FFM","Organization",0.867574106223984
"persona_Llama3_70b_zero_shot","FFM","Productiveness",0.74506233196552
"persona_Llama3_70b_zero_shot","FFM","Responsibility",0.952356610488025
"persona_Llama3_70b_zero_shot","FFM","Anxiety",0.75453492821628
"persona_Llama3_70b_zero_shot","FFM","Depression",0.960696873247105
"persona_Llama3_70b_zero_shot","FFM","Emotional_Volatility",0.791694880822066
"persona_Llama3_70b_zero_shot","FFM","Intellectual_Curiosity",0.663529023556183
"persona_Llama3_70b_zero_shot","FFM","Aesthetic_Sensitivity",0.647627424287003
"persona_Llama3_70b_zero_shot","FFM","Creative_Imagination",0.893740495848919
"persona_Mistral_7b_zero_shot","FFM","Sociability",0.594769647517836
"persona_Mistral_7b_zero_shot","FFM","Assertiveness",0.690293604293274
"persona_Mistral_7b_zero_shot","FFM","Energy_Level",0.868346083287923
"persona_Mistral_7b_zero_shot","FFM","Compassion",0.763730992194022
"persona_Mistral_7b_zero_shot","FFM","Respectfulness",0.846505751658456
"persona_Mistral_7b_zero_shot","FFM","Trust",0.670522964965683
"persona_Mistral_7b_zero_shot","FFM","Organization",0.749192726703558
"persona_Mistral_7b_zero_shot","FFM","Productiveness",0.851843381996207
"persona_Mistral_7b_zero_shot","FFM","Responsibility",0.852460495519137
"persona_Mistral_7b_zero_shot","FFM","Anxiety",0.507596352369747
"persona_Mistral_7b_zero_shot","FFM","Depression",0.797552298379354
"persona_Mistral_7b_zero_shot","FFM","Emotional_Volatility",0.750929687563775
"persona_Mistral_7b_zero_shot","FFM","Intellectual_Curiosity",0.743712325479362
"persona_Mistral_7b_zero_shot","FFM","Aesthetic_Sensitivity",0.644081934271733
"persona_Mistral_7b_zero_shot","FFM","Creative_Imagination",0.697918860675982
"psi_Gemma2_9b_zero_shot","FFM","Sociability",0.654721380688621
"psi_Gemma2_9b_zero_shot","FFM","Assertiveness",0.808087046569678
"psi_Gemma2_9b_zero_shot","FFM","Energy_Level",0.838071398748971
"psi_Gemma2_9b_zero_shot","FFM","Compassion",0.854425687109545
"psi_Gemma2_9b_zero_shot","FFM","Respectfulness",0.823030392170089
"psi_Gemma2_9b_zero_shot","FFM","Trust",0.809521739415641
"psi_Gemma2_9b_zero_shot","FFM","Organization",0.664200411704769
"psi_Gemma2_9b_zero_shot","FFM","Productiveness",0.786472269837939
"psi_Gemma2_9b_zero_shot","FFM","Responsibility",0.891875712564465
"psi_Gemma2_9b_zero_shot","FFM","Anxiety",0.724257609580886
"psi_Gemma2_9b_zero_shot","FFM","Depression",0.963494927940699
"psi_Gemma2_9b_zero_shot","FFM","Emotional_Volatility",0.78280707869407
"psi_Gemma2_9b_zero_shot","FFM","Intellectual_Curiosity",0.861922809724392
"psi_Gemma2_9b_zero_shot","FFM","Aesthetic_Sensitivity",0.404459808111508
"psi_Gemma2_9b_zero_shot","FFM","Creative_Imagination",0.616844492658025
"psi_Gemma2_27b_zero_shot","FFM","Sociability",0.842491061927668
"psi_Gemma2_27b_zero_shot","FFM","Assertiveness",0.778277824925953
"psi_Gemma2_27b_zero_shot","FFM","Energy_Level",0.894007460537602
"psi_Gemma2_27b_zero_shot","FFM","Compassion",0.795052052825979
"psi_Gemma2_27b_zero_shot","FFM","Respectfulness",0.912834184951063
"psi_Gemma2_27b_zero_shot","FFM","Trust",0.851249808726993
"psi_Gemma2_27b_zero_shot","FFM","Organization",0.849567584579362
"psi_Gemma2_27b_zero_shot","FFM","Productiveness",0.844888045075456
"psi_Gemma2_27b_zero_shot","FFM","Responsibility",0.863997487589204
"psi_Gemma2_27b_zero_shot","FFM","Anxiety",0.62295768397281
"psi_Gemma2_27b_zero_shot","FFM","Depression",0.901099201236393
"psi_Gemma2_27b_zero_shot","FFM","Emotional_Volatility",0.824407000991973
"psi_Gemma2_27b_zero_shot","FFM","Intellectual_Curiosity",0.744880082472874
"psi_Gemma2_27b_zero_shot","FFM","Aesthetic_Sensitivity",0.67254309892515
"psi_Gemma2_27b_zero_shot","FFM","Creative_Imagination",0.914098174207254
"psi_GPT4o_mini_zero_shot","FFM","Sociability",0.823121777507592
"psi_GPT4o_mini_zero_shot","FFM","Assertiveness",0.687345558145665
"psi_GPT4o_mini_zero_shot","FFM","Energy_Level",0.944401753185562
"psi_GPT4o_mini_zero_shot","FFM","Compassion",0.850194419577608
"psi_GPT4o_mini_zero_shot","FFM","Respectfulness",0.892859557626293
"psi_GPT4o_mini_zero_shot","FFM","Trust",0.858631917025291
"psi_GPT4o_mini_zero_shot","FFM","Organization",0.857906555909585
"psi_GPT4o_mini_zero_shot","FFM","Productiveness",0.813787300193325
"psi_GPT4o_mini_zero_shot","FFM","Responsibility",0.898909854405947
"psi_GPT4o_mini_zero_shot","FFM","Anxiety",0.741005501102243
"psi_GPT4o_mini_zero_shot","FFM","Depression",0.96968172649063
"psi_GPT4o_mini_zero_shot","FFM","Emotional_Volatility",0.782619442633047
"psi_GPT4o_mini_zero_shot","FFM","Intellectual_Curiosity",0.78983640268371
"psi_GPT4o_mini_zero_shot","FFM","Aesthetic_Sensitivity",0.702538164545349
"psi_GPT4o_mini_zero_shot","FFM","Creative_Imagination",0.880610351567149
"psi_GPT4o_zero_shot","FFM","Sociability",0.818401866139017
"psi_GPT4o_zero_shot","FFM","Assertiveness",0.707000141499886
"psi_GPT4o_zero_shot","FFM","Energy_Level",0.931805214173389
"psi_GPT4o_zero_shot","FFM","Compassion",0.827315580951547
"psi_GPT4o_zero_shot","FFM","Respectfulness",0.88007693865878
"psi_GPT4o_zero_shot","FFM","Trust",0.843460748680234
"psi_GPT4o_zero_shot","FFM","Organization",0.867138786877477
"psi_GPT4o_zero_shot","FFM","Productiveness",0.830157431157002
"psi_GPT4o_zero_shot","FFM","Responsibility",0.875405045674634
"psi_GPT4o_zero_shot","FFM","Anxiety",0.735012111459665
"psi_GPT4o_zero_shot","FFM","Depression",0.994979545453404
"psi_GPT4o_zero_shot","FFM","Emotional_Volatility",0.758099953071996
"psi_GPT4o_zero_shot","FFM","Intellectual_Curiosity",0.751663211934771
"psi_GPT4o_zero_shot","FFM","Aesthetic_Sensitivity",0.700428221550216
"psi_GPT4o_zero_shot","FFM","Creative_Imagination",0.960370741881698
"psi_Llama3_8b_zero_shot","FFM","Sociability",0.756155048744468
"psi_Llama3_8b_zero_shot","FFM","Assertiveness",0.739682339090309
"psi_Llama3_8b_zero_shot","FFM","Energy_Level",0.938677905573999
"psi_Llama3_8b_zero_shot","FFM","Compassion",0.829243012664679
"psi_Llama3_8b_zero_shot","FFM","Respectfulness",0.794297608645573
"psi_Llama3_8b_zero_shot","FFM","Trust",0.843882224996898
"psi_Llama3_8b_zero_shot","FFM","Organization",0.791390472366261
"psi_Llama3_8b_zero_shot","FFM","Productiveness",0.801047039789997
"psi_Llama3_8b_zero_shot","FFM","Responsibility",0.85602471735133
"psi_Llama3_8b_zero_shot","FFM","Anxiety",0.799683022917836
"psi_Llama3_8b_zero_shot","FFM","Depression",0.873187463975232
"psi_Llama3_8b_zero_shot","FFM","Emotional_Volatility",0.812867473556893
"psi_Llama3_8b_zero_shot","FFM","Intellectual_Curiosity",0.800293765530283
"psi_Llama3_8b_zero_shot","FFM","Aesthetic_Sensitivity",0.631091975114474
"psi_Llama3_8b_zero_shot","FFM","Creative_Imagination",0.905097930209728
"psi_Llama3_70b_zero_shot","FFM","Sociability",0.767646657828446
"psi_Llama3_70b_zero_shot","FFM","Assertiveness",0.68120518795289
"psi_Llama3_70b_zero_shot","FFM","Energy_Level",0.897495489143314
"psi_Llama3_70b_zero_shot","FFM","Compassion",0.787462963588039
"psi_Llama3_70b_zero_shot","FFM","Respectfulness",0.945977605677229
"psi_Llama3_70b_zero_shot","FFM","Trust",0.835804279908617
"psi_Llama3_70b_zero_shot","FFM","Organization",0.871809736194806
"psi_Llama3_70b_zero_shot","FFM","Productiveness",0.830401893250684
"psi_Llama3_70b_zero_shot","FFM","Responsibility",0.919532502871133
"psi_Llama3_70b_zero_shot","FFM","Anxiety",0.754150557770601
"psi_Llama3_70b_zero_shot","FFM","Depression",0.875691850831654
"psi_Llama3_70b_zero_shot","FFM","Emotional_Volatility",0.851288935472446
