"file","model","factor","tcc","mae"
"persona_Gemma2_9b_zero_shot","ext","Sociability",1,0.0102855194335952
"persona_Gemma2_9b_zero_shot","ext","Assertiveness",0.97,0.0537778086438408
"persona_Gemma2_9b_zero_shot","ext","Energy_Level",1,0.0150716721513294
"persona_Gemma2_27b_zero_shot","ext","Sociability",1,0.0155273574119978
"persona_Gemma2_27b_zero_shot","ext","Assertiveness",0.97,0.0573853504909695
"persona_Gemma2_27b_zero_shot","ext","Energy_Level",0.98,0.0519266193555773
"persona_GPT4o_mini_zero_shot","ext","Sociability",1,0.0144076397102898
"persona_GPT4o_mini_zero_shot","ext","Assertiveness",0.99,0.038088724739029
"persona_GPT4o_mini_zero_shot","ext","Energy_Level",0.99,0.0549712283919672
"persona_GPT4o_zero_shot","ext","Sociability",1,0.00882115672843672
"persona_GPT4o_zero_shot","ext","Assertiveness",0.97,0.0567579890908559
"persona_GPT4o_zero_shot","ext","Energy_Level",0.98,0.0485168711353874
"persona_Llama3_8b_zero_shot","ext","Sociability",-0.78,0.406074130717572
"persona_Llama3_8b_zero_shot","ext","Assertiveness",0.55,0.162279668750331
"persona_Llama3_8b_zero_shot","ext","Energy_Level",0.71,0.137015308532466
"persona_Llama3_70b_zero_shot","ext","Sociability",0.99,0.0263284970465816
"persona_Llama3_70b_zero_shot","ext","Assertiveness",0.98,0.0481446052414803
"persona_Llama3_70b_zero_shot","ext","Energy_Level",0.98,0.0460736422886679
"persona_Mistral_7b_zero_shot","ext","Sociability",0.91,0.0864626393854797
"persona_Mistral_7b_zero_shot","ext","Assertiveness",0.92,0.0849742913377845
"persona_Mistral_7b_zero_shot","ext","Energy_Level",0.98,0.0424029240947519
"psi_Gemma2_9b_zero_shot","ext","Sociability",1,0.0110494840291151
"psi_Gemma2_9b_zero_shot","ext","Assertiveness",0.97,0.0490749991659874
"psi_Gemma2_9b_zero_shot","ext","Energy_Level",0.86,0.0873957666107685
"psi_Gemma2_27b_zero_shot","ext","Sociability",1,0.0203337018025519
"psi_Gemma2_27b_zero_shot","ext","Assertiveness",0.92,0.0926324672494689
"psi_Gemma2_27b_zero_shot","ext","Energy_Level",0.98,0.0395524361096755
"psi_GPT4o_mini_zero_shot","ext","Sociability",1,0.0202706333610087
"psi_GPT4o_mini_zero_shot","ext","Assertiveness",0.99,0.033353640245287
"psi_GPT4o_mini_zero_shot","ext","Energy_Level",0.98,0.0539754596637965
"psi_GPT4o_zero_shot","ext","Sociability",1,0.0157058774811372
"psi_GPT4o_zero_shot","ext","Assertiveness",0.98,0.040753701747678
"psi_GPT4o_zero_shot","ext","Energy_Level",0.98,0.0571164976290667
"psi_Llama3_8b_zero_shot","ext","Sociability",1,0.0156604745369901
"psi_Llama3_8b_zero_shot","ext","Assertiveness",0.98,0.0377324557475403
"psi_Llama3_8b_zero_shot","ext","Energy_Level",0.98,0.0365245479242056
"psi_Llama3_70b_zero_shot","ext","Sociability",1,0.0292188962143504
"psi_Llama3_70b_zero_shot","ext","Assertiveness",0.95,0.0914775599810288
"psi_Llama3_70b_zero_shot","ext","Energy_Level",0.99,0.033133771571186
"psi_Mistral_7b_zero_shot","ext","Sociability",1,0.0212128545711445
"psi_Mistral_7b_zero_shot","ext","Assertiveness",0.96,0.0739492559561244
"psi_Mistral_7b_zero_shot","ext","Energy_Level",0.99,0.0182805317901608
"shape_Gemma2_9b_zero_shot","ext","Sociability",0.97,0.0445342836578302
"shape_Gemma2_9b_zero_shot","ext","Assertiveness",0.86,0.0959286145425641
"shape_Gemma2_9b_zero_shot","ext","Energy_Level",0.97,0.072366001687989
"shape_Gemma2_27b_zero_shot","ext","Sociability",1,0.0154194921849853
"shape_Gemma2_27b_zero_shot","ext","Assertiveness",0.97,0.0599182061128113
"shape_Gemma2_27b_zero_shot","ext","Energy_Level",0.97,0.0809336302537966
"shape_GPT4o_mini_zero_shot","ext","Sociability",0.91,0.0923209841920567
"shape_GPT4o_mini_zero_shot","ext","Assertiveness",0.95,0.0693048980831864
"shape_GPT4o_mini_zero_shot","ext","Energy_Level",1,0.026772447559816
"shape_GPT4o_zero_shot","ext","Sociability",1,0.0247158934913912
"shape_GPT4o_zero_shot","ext","Assertiveness",0.99,0.0497075898911446
"shape_GPT4o_zero_shot","ext","Energy_Level",0.97,0.0630852012718296
"shape_Llama3_8b_zero_shot","ext","Sociability",-0.81,0.401771371157029
"shape_Llama3_8b_zero_shot","ext","Assertiveness",0.79,0.107502025289192
"shape_Llama3_8b_zero_shot","ext","Energy_Level",-0.8,0.327498218249347
"shape_Llama3_70b_zero_shot","ext","Sociability",0.99,0.0456568736294804
"shape_Llama3_70b_zero_shot","ext","Assertiveness",0.97,0.0548767098733409
"shape_Llama3_70b_zero_shot","ext","Energy_Level",0.96,0.0604278414893372
"shape_Mistral_7b_zero_shot","ext","Sociability",0.99,0.0332693169949542
"shape_Mistral_7b_zero_shot","ext","Assertiveness",0.94,0.0656180358569564
"shape_Mistral_7b_zero_shot","ext","Energy_Level",0.95,0.0741864449919533
"persona_Gemma2_9b_zero_shot","agr","Compassion",0.97,0.0566801311997114
"persona_Gemma2_9b_zero_shot","agr","Respectfulness",0.99,0.0244508508442305
"persona_Gemma2_9b_zero_shot","agr","Trust",0.97,0.0510634997243652
"persona_Gemma2_27b_zero_shot","agr","Compassion",0.97,0.0531797866161836
"persona_Gemma2_27b_zero_shot","agr","Respectfulness",0.99,0.0363858041571619
"persona_Gemma2_27b_zero_shot","agr","Trust",1,0.0131921652458675
"persona_GPT4o_mini_zero_shot","agr","Compassion",0.98,0.0555076973233952
"persona_GPT4o_mini_zero_shot","agr","Respectfulness",0.99,0.0394881793334056
"persona_GPT4o_mini_zero_shot","agr","Trust",0.98,0.0412377715949226
"persona_GPT4o_zero_shot","agr","Compassion",0.95,0.0604211465872294
"persona_GPT4o_zero_shot","agr","Respectfulness",1,0.0181312917347429
"persona_GPT4o_zero_shot","agr","Trust",0.98,0.0509838330679878
"persona_Llama3_8b_zero_shot","agr","Compassion",0.86,0.0917660414020067
"persona_Llama3_8b_zero_shot","agr","Respectfulness",0.71,0.115951680871929
"persona_Llama3_8b_zero_shot","agr","Trust",-0.6,0.345595133598979
"persona_Llama3_70b_zero_shot","agr","Compassion",0.96,0.0621327087978949
"persona_Llama3_70b_zero_shot","agr","Respectfulness",1,0.0297084366897858
