,E-A,E-C,E-N,E-O,A-C,A-N,A-O,C-N,C-O,N-O,Mean of absolute values
Mistral-7B-Instruct+Persona,0.42317576737905777,0.5474539212069001,-0.49199796482478286,0.29553231348418463,0.7118578863608489,-0.42252677653275894,0.36669431037339584,-0.5811493380463477,0.22561624758398835,-0.0406911660109973,0.41066956918032627
Mistral-7B-Instruct+Shape,0.480510646471087,0.5854339929864449,-0.5558648694958844,0.633084024860759,0.750113749088515,-0.7410669731567303,0.6322931230784166,-0.7956524113465544,0.4647782290578151,-0.45715384328262,0.6095951862824827
Mistral-7B-Instruct+PSI,0.45477367006540864,0.45948970505919784,-0.4487050643607381,0.4337350626740144,0.63846499576693,-0.5420868046038799,0.28885015886934584,-0.664659382949915,0.05603696921060286,-0.03125921105415234,0.40180610246141846
Gemma-2-9B-IT+Persona,0.2283484784876623,0.43046662081893927,-0.45634056190731564,0.3797939593507406,0.6193778331755747,-0.5274611391525335,0.39417196757318984,-0.555863454873999,0.2980730938841807,-0.19240776144702876,0.4082304870671164
Gemma-2-9B-IT+Shape,0.5727218697575651,0.5401243336464192,-0.5369354548325127,0.7828222416853148,0.6695474595822967,-0.7237271123227904,0.74504168861134,-0.7750707147311814,0.4925287863739083,-0.42118795257434893,0.6259707614117678
Gemma-2-9B-IT+PSI,0.3710216129584761,0.504532914521458,-0.4925766434408763,0.4640779553379885,0.5718579468424595,-0.5317542655477453,0.3960343152166178,-0.6405231267072246,0.36298326603470765,-0.1810975253912611,0.45164595719988154
Gemma-2-27B-IT+Persona,0.4087854602707347,0.5390675245182356,-0.5561877999979322,0.43517721630412054,0.7005039559584745,-0.608825746482053,0.5349549512041409,-0.7110764126631316,0.36617156954982355,-0.2727005649731914,0.5133451201921838
Gemma-2-27B-IT+Shape,0.5723323841039791,0.5565336108342618,-0.6197291080607331,0.7772197980618507,0.7833774562468014,-0.7785211731598818,0.7442371787430996,-0.8747165873291186,0.5384561083987277,-0.5535515721132153,0.6798674977051669
Gemma-2-27B-IT+PSI,0.31677941428276096,0.35625645946295853,-0.30682201482785443,0.3438536625823624,0.568119540058306,-0.38949743487865024,0.16137507125546405,-0.6298016036993042,0.04823403247964453,0.24354814488717122,0.33642873784144767
Llama3-8B-Instruct+Persona,0.24047343316582048,0.2636009436992335,-0.38623498067004414,0.2590165317267983,0.4525292020249875,-0.5052314214153537,0.32163746359778084,-0.40157078682970304,0.02143205877438597,-0.12573800864210186,0.2977464830546209
Llama3-8B-Instruct+Shape,0.28140477706100925,0.24247081555136288,-0.3902904097485106,0.5946403795206407,0.5518525982939437,-0.6044805203616804,0.607265859100409,-0.4588622915205095,0.24421478144500006,-0.46652933936574664,0.44420117719688135
Llama3-8B-Instruct+PSI,0.37765472276760426,0.43517007230919125,-0.3987629408309068,0.19115784948038936,0.5330223142271384,-0.28685877919320596,0.19219491094658828,-0.4559941963651363,0.06737556064771187,0.26381246043508694,0.32020038072029594
Llama3-70B-Instruct+Persona,0.1183825562029532,0.32686769128172616,-0.41835848872543413,0.27958582943568655,0.662659668442283,-0.5372219989725923,0.31233615783938296,-0.6030108085632842,0.19616610545735422,-0.079007767315033,0.35335970722357296
Llama3-70B-Instruct+Shape,0.4069256152795557,0.41611509833270155,-0.5714068723343886,0.6765306550260947,0.7040806833903762,-0.7204000109680391,0.7792807953196774,-0.8718001255601928,0.4840106490111638,-0.5689739242520704,0.619952442947426
Llama3-70B-Instruct+PSI,0.2449275315100518,0.31420032304358203,-0.22592310952230618,0.3513523215224129,0.5341578149906824,-0.39787228603253394,0.147570585497085,-0.5419016098541485,0.09341482055418128,0.201118292317835,0.3052438694844819
GPT4o_mini+Persona,0.4163869508144281,0.543627173803947,-0.590968852251333,0.3977189865933173,0.7103722851432073,-0.6436953677272305,0.4998725213296905,-0.6636829865149115,0.3092587261769686,-0.21266603816988955,0.4988249888524924
GPT4o_mini+Shape,0.6278390287315914,0.5022395731558074,-0.5153883968829858,0.7549174521165056,0.7668722862552417,-0.7100474372935742,0.8465398964711106,-0.7243546219416566,0.5962770789638433,-0.4754903424163499,0.6519966114228667
GPT4o_mini+PSI,0.38868847380451366,0.404107542927058,-0.42888734457164546,0.232088879565241,0.5532212367167689,-0.3369336022694391,0.19987867261169176,-0.5311470516788401,0.034318303051382004,0.26111107762228924,0.3370382184818869
GPT4o+Persona,0.20688046688007658,0.4010706967037226,-0.43403414524563244,0.22692316994355446,0.4696354543933527,-0.2996206421315166,0.29881481488145495,-0.4342412300994211,0.08506928805654103,0.026918924265244542,0.28832088326005173
GPT4o+Shape,0.4804900029028242,0.46078917112189305,-0.5763664209744754,0.6590039803055782,0.6662516163058364,-0.6440430572208253,0.7144609324740755,-0.738924730007793,0.2934874393419146,-0.31187354781500864,0.5545690898470225
GPT4o+PSI,0.35235542406730525,0.38783938112672917,-0.4289894604283345,0.15695031325444259,0.5099541542426553,-0.29894925493478786,0.13951946487147907,-0.4652167254017632,0.023503403173559752,0.3019691851124535,0.306524676661351
Human sample,0.17156531157505645,0.35283362213597436,-0.45424938379720303,0.21958284090919322,0.33353663105539044,-0.36285533592991404,0.20270475690097872,-0.4912620501974328,0.08806027155086425,-0.11383249163683128,0.2790482695688838
