,normal_human.mean,normal_human.sd
Item1,3.02,1.4
Item2,4.34,0.9
Item3,3.62,1.36
Item4,2.56,1.3
Item5,3.68,1.33
Item6,2.96,1.38
Item7,4.62,0.61
Item8,3.62,1.31
Item9,2.43,1.24
Item10,4.43,0.81
Item11,3.54,1.26
Item12,3.34,1.32
Item13,4.33,0.86
Item14,2.56,1.36
Item15,3.9,1.03
Item16,2.35,1.34
Item17,3.71,1.45
Item18,3.96,1.06
Item19,3.29,1.27
Item20,4.06,1.16
Item21,2.9,1.35
Item22,4.23,1.05
Item23,3.31,1.39
Item24,2.26,1.27
Item25,3.94,1.21
Item26,3.35,1.31
Item27,3.79,1.2
Item28,3.56,1.25
Item29,2.44,1.27
Item30,3.95,1.2
Item31,2.35,1.36
Item32,4.18,0.88
Item33,3.71,1.24
Item34,3.3,1.47
Item35,4.16,1.07
Item36,3.09,1.2
Item37,3.79,1.25
Item38,4.23,0.88
Item39,2.71,1.43
Item40,4.02,1.08
Item41,3.14,1.3
Item42,2.75,1.3
Item43,4.32,0.88
Item44,2.22,1.14
Item45,4.17,1.06
Item46,2.87,1.38
Item47,3.84,1.23
Item48,4.15,1.12
Item49,3.44,1.37
Item50,3.66,1.37
Item51,2.96,1.28
Item52,4.5,0.7
Item53,4.28,0.91
Item54,2.65,1.46
Item55,3.83,1.22
Item56,3.35,1.22
Item57,3.37,1.28
Item58,3.64,1.3
Item59,2.53,1.33
Item60,3.84,1.07
Sociability,2.65,1.17
Assertiveness,2.98,1.04
Energy Level,3.35,0.95
Compassion,4.02,0.81
Respectfulness,4.29,0.7
Trust,3.31,1
Organization,3.86,1.01
Productiveness,3.86,0.91
Responsibility,3.96,0.84
Anxiety,3.15,1.11
Depression,2.51,1.14
Emotional Volatility,2.44,1.1
Intellectual Curiosity,4.05,0.83
Aesthetic Sensitivity,3.89,1.01
Creative Imagination,3.96,0.88
Extraversion,2.99,0.85
Agreeableness,3.87,0.69
Conscientiousness,3.89,0.8
Neuroticism,2.7,1.02
Openness,3.97,0.76
